epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,10524.7,0.78149,0.42991,0.0076,0.93863,0.96694,0.97927,0.52446,1.57322,0.56097,0.02375,0.00035382,0.00035382,0.00035382
78,10616.3,0.76086,0.41871,0.00716,0.93931,0.93403,0.97161,0.52102,1.62741,0.5768,0.02429,0.000339673,0.000339673,0.000339673
79,10700.1,0.76609,0.44152,0.00747,0.94383,0.93673,0.97162,0.52581,1.64548,0.55914,0.02415,0.000325526,0.000325526,0.000325526
80,10779.9,0.78867,0.4355,0.00739,0.95042,0.95161,0.98002,0.54496,1.5723,0.5432,0.02268,0.000311379,0.000311379,0.000311379
81,10861.6,0.79262,0.40789,0.00724,0.93996,0.94281,0.979,0.52766,1.63614,0.58611,0.02414,0.000297232,0.000297232,0.000297232
82,10941.5,0.78969,0.40437,0.00701,0.93014,0.96544,0.98095,0.54349,1.56439,0.56718,0.0228,0.000283085,0.000283085,0.000283085
83,11023.9,0.77795,0.41201,0.00747,0.9677,0.95239,0.98165,0.51856,1.6164,0.5526,0.02382,0.000268938,0.000268938,0.000268938
84,11108.8,0.75069,0.39417,0.00687,0.96308,0.95962,0.98105,0.52136,1.5795,0.53705,0.02342,0.000254791,0.000254791,0.000254791
85,11187.4,0.75768,0.39147,0.00676,0.94364,0.97964,0.98009,0.55059,1.51003,0.52351,0.0221,0.000240644,0.000240644,0.000240644
86,11274,0.75554,0.40562,0.00701,0.93593,0.97299,0.9789,0.54007,1.55696,0.55003,0.02279,0.000226497,0.000226497,0.000226497
87,11353.8,0.75461,0.3892,0.0069,0.94658,0.94855,0.97931,0.51591,1.61028,0.55881,0.02351,0.000212349,0.000212349,0.000212349
88,11434.3,0.75909,0.38529,0.00687,0.9321,0.95818,0.97202,0.49241,1.68445,0.58395,0.02514,0.000198202,0.000198202,0.000198202
89,11545.7,0.73848,0.38352,0.00696,0.94772,0.95041,0.97304,0.5075,1.61802,0.5685,0.02393,0.000184055,0.000184055,0.000184055
90,11651.6,0.74721,0.39362,0.00682,0.95324,0.9574,0.98185,0.5333,1.54404,0.54124,0.02274,0.000169908,0.000169908,0.000169908
91,11770.4,0.74461,0.37031,0.0082,0.96088,0.94195,0.97972,0.52139,1.58206,0.55474,0.02322,0.000155761,0.000155761,0.000155761
92,11914.7,0.71499,0.32989,0.00804,0.95151,0.94299,0.97089,0.50249,1.65401,0.57393,0.02414,0.000141614,0.000141614,0.000141614
93,12025.8,0.71835,0.32872,0.00797,0.93257,0.96077,0.96687,0.50424,1.65976,0.57546,0.02421,0.000127467,0.000127467,0.000127467
94,12123.9,0.70542,0.33498,0.008,0.94573,0.95665,0.9722,0.51448,1.61,0.57743,0.02341,0.00011332,0.00011332,0.00011332
95,12203.7,0.71077,0.33055,0.00778,0.93185,0.97334,0.97845,0.51842,1.58297,0.58524,0.02305,9.91726e-05,9.91726e-05,9.91726e-05
96,12282.9,0.69893,0.33049,0.0079,0.942,0.96636,0.97925,0.52007,1.57634,0.57644,0.02301,8.50255e-05,8.50255e-05,8.50255e-05
97,12361.5,0.70896,0.33593,0.00796,0.9569,0.96472,0.98094,0.51747,1.58774,0.56948,0.02321,7.08784e-05,7.08784e-05,7.08784e-05
98,12444.8,0.69498,0.3197,0.00783,0.96556,0.96726,0.98028,0.51704,1.60352,0.56254,0.02347,5.67313e-05,5.67313e-05,5.67313e-05
99,12522.1,0.69158,0.29911,0.00753,0.96327,0.9663,0.98026,0.5172,1.6161,0.5613,0.02361,4.25842e-05,4.25842e-05,4.25842e-05
100,12605,0.69209,0.31604,0.00775,0.96453,0.96965,0.98035,0.51762,1.61351,0.55765,0.02361,2.84371e-05,2.84371e-05,2.84371e-05
